Coluna1;Coluna3
sgLinha;horario
170;6:00
170;7:25
170;8:50
170;10:15
170;11:40
170;13:05
170;14:30
170;15:55
170;17:20
170;18:45
170;21:15
270;6:00
270;7:45
270;9:30
270;11:15
270;13:00
270;14:45
270;16:30
270;18:15
270;21:45
706;5:20
706;5:40
706;6:16
706;6:44
706;7:12
706;7:40
706;8:08
706;8:36
706;9:04
706;9:32
706;10:00
706;10:28
706;10:56
706;11:24
706;11:52
706;12:37
706;13:22
706;14:07
706;14:52
706;15:37
706;16:22
706;17:07
706;17:52
706;19:00
706;21:20
711;5:50
711;7:00
711;8:10
711;9:20
711;10:30
711;11:40
711;12:50
711;14:00
711;15:10
711;16:20
711;17:30
711;18:40
711;21:00
712;6:00
712;8:30
712;11:00
712;13:20
712;15:40
712;17:50
712;20:30
714;6:30
714;9:00
714;11:30
714;13:30
714;16:00
714;18:30
714;21:00
715;5:30
715;6:40
715;7:50
715;9:00
715;10:10
715;11:20
715;12:30
715;13:40
715;14:50
715;16:00
715;17:10
715;18:20
715;20:50
801;6:30
801;9:00
801;11:30
801;13:30
801;15:30
801;18:00
801;20:20
360;5:30
360;6:00
360;6:10
360;7:15
360;7:45
360;7:50
360;9:30
360;9:50
360;11:25
360;13:00
360;14:45
360;16:30
360;18:15
615;6:00
615;8:30
615;11:00
615;15:00
615;18:00
615;21:30
613;5:00
613;5:35
613;6:10
613;7:20
613;7:40
613;8:30
613;9:40
613;11:00
613;11:50
613;14:00
613;15:00
613;16:30
613;18:00
613;21:20
688;5:00
688;5:35
688;6:10
688;7:20
688;7:40
688;8:30
688;9:40
688;11:00
688;11:50
688;14:00
688;15:00
688;16:30
688;18:00
688;21:20
614;6:00
614;8:30
614;11:00
614;16:00
614;18:30
614;21:30
617;6:00
617;8:30
617;11:00
617;15:00
617;18:00
617;21:20
618;6:00
618;8:30
618;11:00
618;15:00
618;18:00
618;21:20
620;6:00
620;8:30
620;11:00
620;14:00
620;16:30
620;19:20
621;5:00
621;5:25
621;5:40
621;5:50
621;6:13
621;6:26
621;6:49
621;7:12
621;7:35
621;7:58
621;8:10
621;8:21
621;8:44
621;9:07
621;9:30
621;9:53
621;10:16
621;10:39
621;11:12
621;11:35
621;12:20
621;13:15
621;13:50
621;14:35
621;15:20
621;15:55
621;16:25
621;16:50
621;17:25
621;18:00
621;18:50
621;21:20
623;5:30
623;6:10
623;7:15
623;8:40
623;11:10
623;13:50
623;15:50
623;18:20
623;20:55
616;5:30
616;6:00
616;7:00
616;8:30
616;9:30
616;10:30
616;12:30
616;14:30
616;16:30
616;18:30
627;5:20
627;6:00
627;6:30
627;7:40
627;8:10
627;8:50
627;10:00
