sgLinha;codigoLinha;getOrigemIda;destinoIda;nomeLinha;mapa
902;885;TERMINAL 1;TERMINAL 1;TERESINA SUL-PALITOLANDIA-BR - AV MIGUEL ROSA;https://www.google.com/maps/d/u/0/embed?mid=1GvyDcporeCtFhQBh0y9a5JbwEfnvailR&ehbc=2E312F
513;77;PLANALTO URUGUAI;PLANALTO URUGUAI;PLANALTO URUGUAI SAO CRISTOVAO;https://www.google.com/maps/d/u/0/embed?mid=1d-YgjlZNLBWpuauwOVsl-UM4E-ENFNI9&ehbc=2E312F
0;0;;;Todas as Paradas;https://www.google.com/maps/d/u/0/embed?mid=1b8V8RQ0qNV9_xO1eLwzXEKxS0eAPDipT&ehbc=2E312F
901;264;TERMINAL 1;TERMINAL 1;IRMA DULCE / ESPLANADA / SHOPPING / M.ROSA;https://www.google.com/maps/d/u/0/embed?mid=1xu-SeBsw_aLdWfJftW__VOeM7mw5vuXr&ehbc=2E312F
802;20;CJ. SANTA FE;CJ. SANTA FE;SANTA FE MARANHAO VIA SANTO ANTONIO;https://www.google.com/maps/d/u/0/embed?mid=1Vj-2uBIq-qQXEhIAgy-YCzvRB7cD9izu&ehbc=2E312F
801;18;;;SANTA FE PEDRO FREITAS;https://www.google.com/maps/d/u/0/embed?mid=1CZW75LYD_v8UtGVcEWOzyLsbA-d-E-g_&ehbc=2E312F
904;716;TERMINAL 1;TERMINAL 1;TERESINA SUL-PALITOLANDIA-BR - AV. BARAO;https://www.google.com/maps/d/u/0/embed?mid=1rctnlZJQA1ghncUrj5L5LSQpo8ke7V5R&ehbc=2E312F
715;166;VL TIRADENTES;VL TIRADENTES;TERESINA SUL-PALITOLANDIA-BARAO;https://www.google.com/maps/d/u/0/embed?mid=1p5Xbr_s-hYk8WQs9JMecLVYXuw4TmVQR&ehbc=2E312F
714;165;RES MARIO COVAS;RES MARIO COVAS;HD-MARIO COVAS-DIGNIDADE BARAO;https://www.google.com/maps/d/u/0/embed?mid=1E720OcPDSKymnC-iMlv_Ye2F777rv5S1&ehbc=2E312F
713;87;CERAMICA CIL;CERAMICA CIL;CERAMICA CIL BARAO;https://www.google.com/maps/d/u/0/embed?mid=1vXspKHI6PaqssLKN0yFGfngN4BH8KA6B&ehbc=2E312F
712;16;;;HD-PORTAL DA ALEGRIA-SANTA CLARA BARAO;https://www.google.com/maps/d/u/0/embed?mid=18HFtbnttKJaXulg9GOYUcVWO09UI9zTB&ehbc=2E312F
711;86;CONJ. VAMOS VER;CONJ. VAMOS VER;VILA SAO FRANCISCO-PROMORAR BARAO;https://www.google.com/maps/d/u/0/embed?mid=1nAeK8egjqcbs6LlQp0LSsxwRVbhOEk5t&ehbc=2E312F
710;61;A. RESSUREICAO;A. RESSUREICAO;ALTO DA RESSUREICAO/BARAO;https://www.google.com/maps/d/u/0/embed?mid=1VV3lhhYME8-OvxwgiFXfnQ_Qgji7C8r3&ehbc=2E312F
709;15;SACY;SACY;SACY BARAO;https://www.google.com/maps/d/u/0/embed?mid=1Leer2wmjGZsbopJNwvvdHNcInuSFcN3r&ehbc=2E312F
706;83;PORTO ALEGRE;PORTO ALEGRE;HD-IRMA DULCE-BARAO;https://www.google.com/maps/d/u/0/embed?mid=1rpNXCY1VXeNVFAziaM9K7p1wbmLHiu6k&ehbc=2E312F
705;92;L. PARENTE;L. PARENTE;L. PARENTE-MORADA NOVA BARAO;https://www.google.com/maps/d/u/0/embed?mid=1bDv4V4VoEMIdnBEzBcYuG8i8V19B99JG&ehbc=2E312F
